Name,Gender,Age,Bib,City,State,FinishTime,OverallPlace,GenderPlace,AgeGroupPlace,AgeGroup
Alex Turner,M,28,134,Austin,TX,17:47,1,1,1,25-29
Michael Chen,M,26,101,Austin,TX,18:18,2,2,2,25-29
Sarah Johnson,F,29,205,Austin,TX,18:54,3,1,1,25-29
David Rodriguez,M,33,118,Round Rock,TX,19:38,4,3,1,30-34
Emily Davis,F,24,312,Cedar Park,TX,20:23,5,2,1,20-24
Jennifer Martinez,F,27,287,Pflugerville,TX,21:07,6,3,2,25-29
James Wilson,M,40,156,Austin,TX,21:52,7,4,1,40-44
Robert Brown,M,49,423,Austin,TX,22:58,8,5,1,45-49
Lisa Anderson,F,36,198,Leander,TX,23:43,9,4,1,35-39
Daniel Garcia,M,31,445,Austin,TX,24:27,10,6,2,30-34
Amanda Thomas,F,43,334,Georgetown,TX,25:34,11,5,1,40-44
Christopher Taylor,M,22,567,Austin,TX,26:29,12,7,1,20-24
Rachel White,F,25,289,Austin,TX,27:25,13,6,3,25-29
Matthew Harris,M,56,512,Austin,TX,28:32,14,8,1,55-59
Kevin Walker,M,37,234,Austin,TX,29:38,15,9,2,35-39
